,b,c,e,f,g,h,i,m,n
180,XJEW7915,12,Anantnag,Una,Vessue,Vessue#Anantnag,A,Vessue (Una),Una (Vessue)
181,SOAM1996,12,Badgam,Una,Zaloosa-Chararishrief,Zaloosa-Chararishrief#Badgam,A,Zaloosa-Chararishrief (Una),Una (Zaloosa-Chararishrief)
182,MPYT9804,12,Baramulla,Una,Kanispora Baramulla (F&V),Kanispora Baramulla (F&V)#Baramulla,A,Kanispora Baramulla (F&V) (Una),Una (Kanispora Baramulla (F&V))
183,QNKY2585,12,Handwara,Una,Handwara (F&V),Handwara (F&V)#Handwara,A,Handwara (F&V) (Una),Una (Handwara (F&V))
184,IWTV9444,12,Jammu,Pakistan,Akhnoor,Akhnoor#Jammu,A,Akhnoor (Pakistan),Pakistan (Akhnoor)
185,KPGM9036,12,Jammu,Pakistan,Batote,Batote#Jammu,A,Batote (Pakistan),Pakistan (Batote)
186,LWNN6311,12,Jammu,Pakistan,Narwal Jammu (F&V),Narwal Jammu (F&V)#Jammu,A,Narwal Jammu (F&V) (Pakistan),Pakistan (Narwal Jammu (F&V))
187,TWKW5629,12,Jammu,Pakistan,Samba,Samba#Jammu,A,Samba (Pakistan),Pakistan (Samba)
188,JIKM1858,12,Kathua,Pathankot Sub-District,Kathua,Kathua#Kathua,A,Kathua (Pathankot Sub-District),Pathankot Sub-District (Kathua)
189,LZBV4960,12,Nowpora,Pathankot Sub-District,Baramulla,Baramulla#Nowpora,A,Baramulla (Pathankot Sub-District),Pathankot Sub-District (Baramulla)
190,FGUH4442,12,Pulwama,Pathankot Sub-District,Pulwama (F&V),Pulwama (F&V)#Pulwama,A,Pulwama (F&V) (Pathankot Sub-District),Pathankot Sub-District (Pulwama (F&V))
191,ZRPN9642,12,Srinagar,Pathankot Sub-District,Parimpore,Parimpore#Srinagar,A,Parimpore (Pathankot Sub-District),Pathankot Sub-District (Parimpore)
192,ZIEC3754,12,Udhampur,Pathankot Sub-District,Reasi,Reasi#Udhampur,A,Reasi (Pathankot Sub-District),Pathankot Sub-District (Reasi)
193,ESJP5102,12,Udhampur,Pathankot Sub-District,Udhampur,Udhampur#Udhampur,A,Udhampur (Pathankot Sub-District),Pathankot Sub-District (Udhampur)
194,ICFL4923,14,Deogarh,Deoghar,Deoghar,Deoghar#Deogarh,A,Deoghar (Deoghar),Deoghar (Deoghar)
195,ASTO3344,14,Dhanbad,Dhanbad,Dhanbad,Dhanbad#Dhanbad,A,Dhanbad (Dhanbad),Dhanbad (Dhanbad)
196,JUSF4661,14,East Singhbhum,Jamshedpur,Jamshedpur,Jamshedpur#East Singhbhum,A,Jamshedpur (Jamshedpur),Jamshedpur (Jamshedpur)
197,UHXL2395,14,Garhwa,Garhwa,Gadhwah,Gadhwah#Garhwa,A,Gadhwah (Garhwa),Garhwa (Gadhwah)
198,FEHQ1924,14,Giridih,Giridih,Giridih,Giridih#Giridih,A,Giridih (Giridih),Giridih (Giridih)
199,WICJ1220,14,Godda,Godda,Godda,Godda#Godda,A,Godda (Godda),Godda (Godda)
200,YBWN1833,14,Gumla,Gumla,Gumla,Gumla#Gumla,A,Gumla (Gumla),Gumla (Gumla)
201,AIDY9005,14,Hazaribagh,Hazaribagh,Hazaribagh,Hazaribagh#Hazaribagh,A,Hazaribagh (Hazaribagh),Hazaribagh (Hazaribagh)
202,BWVY2612,14,Hazaribagh,Ramgarh,Ramgarh,Ramgarh#Hazaribagh,A,Ramgarh (Ramgarh),Ramgarh (Ramgarh)
203,SIZY9995,14,Koderma,Domchanch,Koderma,Koderma#Koderma,A,Koderma (Domchanch),Domchanch (Koderma)
204,LTDD9951,13,Bangalore,Bengaluru,Binny Mill ,Binny Mill #Bangalore,A,Binny Mill  (Bengaluru),Bengaluru (Binny Mill )
205,DOTL3968,13,Bangalore,Doddaballapur,Doddaballa Pur,Doddaballa Pur#Bangalore,A,Doddaballa Pur (Doddaballapur),Doddaballapur (Doddaballa Pur)
206,DFKI8384,13,Bangalore,Hoskote,Hoskote,Hoskote#Bangalore,A,Hoskote (Hoskote),Hoskote (Hoskote)
207,SKCA2592,13,Hassan,Sakleshpur,Sakaleshpura,Sakaleshpura#Hassan,A,Sakaleshpura (Sakleshpur),Sakleshpur (Sakaleshpura)
208,WSTM1996,13,Mangalore(Dakshin Kannad),Mangaluru,Mangalore,Mangalore#Mangalore(Dakshin Kannad),A,Mangalore (Mangaluru),Mangaluru (Mangalore)
209,VQNK3244,13,Mysore,Mysuru,Mysore (Bandipalya),Mysore (Bandipalya)#Mysore,A,Mysore (Bandipalya) (Mysuru),Mysuru (Mysore (Bandipalya))
210,DRRM4301,13,Shimoga,Sagar,Sagar,Sagar#Shimoga,A,Sagar (Sagar),Sagar (Sagar)
211,PABI7559,13,Shimoga,Shivamogga,Shimoga,Shimoga#Shimoga,A,Shimoga (Shivamogga),Shivamogga (Shimoga)
212,YTXS4086,13,Shimoga,Thirthahalli,Thirthahalli,Thirthahalli#Shimoga,A,Thirthahalli (Thirthahalli),Thirthahalli (Thirthahalli)
213,KEZE1847,13,Udupi,Udupi,Udupi,Udupi#Udupi,A,Udupi (Udupi),Udupi (Udupi)
214,RNFG1518,5,Alappuzha,Alappuzha,Alappuzha,Alappuzha#Alappuzha,A,Alappuzha (Alappuzha),Alappuzha (Alappuzha)
215,GBEM7224,5,Alappuzha,Cherthala,Aroor,Aroor#Alappuzha,A,Aroor (Cherthala),Cherthala (Aroor)
216,PFCX7175,5,Alappuzha,Cherthala,Chanthroor,Chanthroor#Alappuzha,A,Chanthroor (Cherthala),Cherthala (Chanthroor)
217,DHTH3566,5,Alappuzha,Cherthala,Cherthala,Cherthala#Alappuzha,A,Cherthala (Cherthala),Cherthala (Cherthala)
218,SGNL2160,5,Alappuzha,Karthikappally,Harippad,Harippad#Alappuzha,A,Harippad (Karthikappally),Karthikappally (Harippad)
219,BIEX8039,5,Alappuzha,Chengannur,Mannar,Mannar#Alappuzha,A,Mannar (Chengannur),Chengannur (Mannar)
220,QFLB7128,5,Alleppey,Alappuzha,Dhara,Dhara#Alleppey,A,Dhara (Alappuzha),Alappuzha (Dhara)
221,JXJI3761,5,Ernakulam,Ernakulam,Ernakulam,Ernakulam#Ernakulam,A,Ernakulam (Ernakulam),Ernakulam (Ernakulam)
222,EYBI4108,5,Ernakulam,Muvattupuzha,Piravam,Piravam#Ernakulam,A,Piravam (Muvattupuzha),Muvattupuzha (Piravam)
223,MWCI6920,5,Idukki,Devikulam,Adimali,Adimali#Idukki,A,Adimali (Devikulam),Devikulam (Adimali)
224,BQEJ4864,5,Idukki,Udumbanchola,Kattappana,Kattappana#Idukki,A,Kattappana (Udumbanchola),Udumbanchola (Kattappana)
225,EKAG4880,5,Idukki,Devikulam,Munnar,Munnar#Idukki,A,Munnar (Devikulam),Devikulam (Munnar)
226,RMDC1293,5,Idukki,Udumbanchola,Nedumkandam,Nedumkandam#Idukki,A,Nedumkandam (Udumbanchola),Udumbanchola (Nedumkandam)
227,SAGC3427,5,Idukki,Thodupuzha,Thodupuzha,Thodupuzha#Idukki,A,Thodupuzha (Thodupuzha),Thodupuzha (Thodupuzha)
228,NXUB5354,5,Idukki,Peerumade,Vandiperiyar,Vandiperiyar#Idukki,A,Vandiperiyar (Peerumade),Peerumade (Vandiperiyar)
229,DYHT8184,5,Kannur,Kannur,Kannur,Kannur#Kannur,A,Kannur (Kannur),Kannur (Kannur)
230,JGAR6938,5,Kannur,Thalassery,Thalasserry,Thalasserry#Kannur,A,Thalasserry (Thalassery),Thalassery (Thalasserry)
231,WPEW3309,5,Kollam,Pathanapuram,Anchal,Anchal#Kollam,A,Anchal (Pathanapuram),Pathanapuram (Anchal)
232,GICU1285,5,Kollam,Kollam Sub-District,Chathanoor,Chathanoor#Kollam,A,Chathanoor (Kollam Sub-District),Kollam Sub-District (Chathanoor)
233,VMNH2189,5,Kollam,Kollam,Kollam,Kollam#Kollam,A,Kollam (Kollam),Kollam (Kollam)
234,UBFC9172,5,Kollam,Kottarakkara,Kottarakkara,Kottarakkara#Kollam,A,Kottarakkara (Kottarakkara),Kottarakkara (Kottarakkara)
235,ANRQ9525,5,Kollam,Pathanapuram,Punalur,Punalur#Kollam,A,Punalur (Pathanapuram),Pathanapuram (Punalur)
236,JMET7380,5,Kollam,Karunagappally,Sasthamkotta,Sasthamkotta#Kollam,A,Sasthamkotta (Karunagappally),Karunagappally (Sasthamkotta)
237,WYVA3939,5,Kottayam,Kottayam Sub-District,Athirampuzha,Athirampuzha#Kottayam,A,Athirampuzha (Kottayam Sub-District),Kottayam Sub-District (Athirampuzha)
238,PBSU9098,5,Kozhikode(Calicut),Kozhikode Sub-District,Mukkom,Mukkom#Kozhikode(Calicut),A,Mukkom (Kozhikode Sub-District),Kozhikode Sub-District (Mukkom)
239,ESOC7944,5,Malappuram,Ernad,Kondotty,Kondotty#Malappuram,A,Kondotty (Ernad),Ernad (Kondotty)
240,WOXG2106,5,Malappuram,Tirur,Kottakkal,Kottakkal#Malappuram,A,Kottakkal (Tirur),Tirur (Kottakkal)
241,HDEA3977,5,Malappuram,Ernad,Manjeri,Manjeri#Malappuram,A,Manjeri (Ernad),Ernad (Manjeri)
242,IFXD8033,5,Malappuram,Tirurangadi,Parappanangadi,Parappanangadi#Malappuram,A,Parappanangadi (Tirurangadi),Tirurangadi (Parappanangadi)
243,MQOW7683,5,Malappuram,Perinthalmanna,Perinthalmanna,Perinthalmanna#Malappuram,A,Perinthalmanna (Perinthalmanna),Perinthalmanna (Perinthalmanna)
244,HKGH3114,5,Malappuram,Tirurangadi,Thirurrangadi,Thirurrangadi#Malappuram,A,Thirurrangadi (Tirurangadi),Tirurangadi (Thirurrangadi)
245,OKWV3052,5,Palakad,Chittur,Koduvayoor,Koduvayoor#Palakad,A,Koduvayoor (Chittur),Chittur (Koduvayoor)
246,ACXO6706,5,Thiruvananthapuram,Thiruvananthapuram,Chala,Chala#Thiruvananthapuram,A,Chala (Thiruvananthapuram),Thiruvananthapuram (Chala)
247,DTWI2324,5,Thiruvananthapuram,Neyyattinkara,Kattakada,Kattakada#Thiruvananthapuram,A,Kattakada (Neyyattinkara),Neyyattinkara (Kattakada)
248,UFZP7887,5,Thiruvananthapuram,Nedumangad,Nedumangadu,Nedumangadu#Thiruvananthapuram,A,Nedumangadu (Nedumangad),Nedumangad (Nedumangadu)
249,VCXG3009,5,Thiruvananthapuram,Thiruvananthapuram,Pothencode,Pothencode#Thiruvananthapuram,A,Pothencode (Thiruvananthapuram),Thiruvananthapuram (Pothencode)
250,VOBW2140,5,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram#Thiruvananthapuram,A,Thiruvananthapuram (Thiruvananthapuram),Thiruvananthapuram (Thiruvananthapuram)
251,HJOX6767,5,Thiruvananthapuram,Nedumangad,Vamanapuram,Vamanapuram#Thiruvananthapuram,A,Vamanapuram (Nedumangad),Nedumangad (Vamanapuram)
252,RPTQ3842,4,Ashoknagar,Ashoknagar,Ashoknagar,Ashoknagar#Ashoknagar,A,Ashoknagar (Ashoknagar),Ashoknagar (Ashoknagar)
253,MNMZ6141,4,Ashoknagar,Mungaoli,Mungawali,Mungawali#Ashoknagar,A,Mungawali (Mungaoli),Mungaoli (Mungawali)
254,YSVJ2495,4,Balaghat,Balaghat,Balaghat,Balaghat#Balaghat,A,Balaghat (Balaghat),Balaghat (Balaghat)
255,RYWJ2595,4,Balaghat,Katangi,Katangi,Katangi#Balaghat,A,Katangi (Katangi),Katangi (Katangi)
256,FKDQ8132,4,Balaghat,Waraseoni,Varaseoni,Varaseoni#Balaghat,A,Varaseoni (Waraseoni),Waraseoni (Varaseoni)
257,OZCH2656,4,Bhind,Bhind,Bhind,Bhind#Bhind,A,Bhind (Bhind),Bhind (Bhind)
258,OJFH2522,4,Bhind,Gohad,Gohad,Gohad#Bhind,A,Gohad (Gohad),Gohad (Gohad)
259,TXFP5907,4,Bhind,Lahar,Lahar,Lahar#Bhind,A,Lahar (Lahar),Lahar (Lahar)
260,VWQS9001,4,Bhopal,Bhopal,Bhopal(F&V),Bhopal(F&V)#Bhopal,A,Bhopal(F&V) (Bhopal),Bhopal (Bhopal(F&V))
261,YBDU3637,4,Burhanpur,Burhanpur,Burhanpur(F&V),Burhanpur(F&V)#Burhanpur,A,Burhanpur(F&V) (Burhanpur),Burhanpur (Burhanpur(F&V))
262,KWQO7932,4,Chhindwara,Chaurai,Chaurai,Chaurai#Chhindwara,A,Chaurai (Chaurai),Chaurai (Chaurai)
263,FGDM2960,4,Chhindwara,Chhindwara,Chhindwara,Chhindwara#Chhindwara,A,Chhindwara (Chhindwara),Chhindwara (Chhindwara)
264,GZKM1276,4,Chhindwara,Pandhurna,Pandhurna,Pandhurna#Chhindwara,A,Pandhurna (Pandhurna),Pandhurna (Pandhurna)
265,XMQO1856,4,Chhindwara,Sausar,Saunsar,Saunsar#Chhindwara,A,Saunsar (Sausar),Sausar (Saunsar)
266,VODE5165,4,Damoh,Damoh,Damoh,Damoh#Damoh,A,Damoh (Damoh),Damoh (Damoh)
267,WRKZ2667,4,Damoh,Damoh,Damoh(F&V),Damoh(F&V)#Damoh,A,Damoh(F&V) (Damoh),Damoh (Damoh(F&V))
268,EDVZ7039,4,Datia,Datia Sub-District,Datia,Datia#Datia,A,Datia (Datia Sub-District),Datia Sub-District (Datia)
269,PIOV4608,4,Datia,Datia Sub-District,Sevda,Sevda#Datia,A,Sevda (Datia Sub-District),Datia Sub-District (Sevda)
270,IHKE9751,4,Dindori,Dindori,Dindori,Dindori#Dindori,A,Dindori (Dindori),Dindori (Dindori)
271,ZLGH7383,4,Dindori,Dindori,Gorakhpur,Gorakhpur#Dindori,A,Gorakhpur (Dindori),Dindori (Gorakhpur)
272,JQGM9572,4,Guna,Aron,Aron,Aron#Guna,A,Aron (Aron),Aron (Aron)
273,TGTN4818,4,Guna,Chachaura,Binaganj,Binaganj#Guna,A,Binaganj (Chachaura),Chachaura (Binaganj)
274,GYKS7197,4,Guna,Guna,Guna,Guna#Guna,A,Guna (Guna),Guna (Guna)
275,AYVI5873,4,Guna,Kumbhraj,Kumbhraj,Kumbhraj#Guna,A,Kumbhraj (Kumbhraj),Kumbhraj (Kumbhraj)
276,WXKX9597,4,Guna,Maksoodangarh,Maksudangarh,Maksudangarh#Guna,A,Maksudangarh (Maksoodangarh),Maksoodangarh (Maksudangarh)
277,NTFI2564,4,Gwalior,Dabra,Dabra,Dabra#Gwalior,A,Dabra (Dabra),Dabra (Dabra)
278,USRF4725,4,Gwalior,Gwalior,Lashkar,Lashkar#Gwalior,A,Lashkar (Gwalior),Gwalior (Lashkar)
279,PGID4646,4,Harda,Harda,Harda,Harda#Harda,A,Harda (Harda),Harda (Harda)
280,XQYS5816,4,Harda,Harda Sub-District,Harda(F&V),Harda(F&V)#Harda,A,Harda(F&V) (Harda Sub-District),Harda Sub-District (Harda(F&V))
281,NZLC8877,4,Indore,Indore,Indore,Indore#Indore,A,Indore (Indore),Indore (Indore)
282,ILAA9602,4,Indore,Indore,Indore(F&V),Indore(F&V)#Indore,A,Indore(F&V) (Indore),Indore (Indore(F&V))
283,TGTL7008,4,Jabalpur,Jabalpur,Jabalpur,Jabalpur#Jabalpur,A,Jabalpur (Jabalpur),Jabalpur (Jabalpur)
284,YFVH5594,4,Jabalpur,Majholi,Sehora,Sehora#Jabalpur,A,Sehora (Majholi),Majholi (Sehora)
285,UNYV5496,4,Jabalpur,Shahpura,Shahpura(Jabalpur),Shahpura(Jabalpur)#Jabalpur,A,Shahpura(Jabalpur) (Shahpura),Shahpura (Shahpura(Jabalpur))
286,NLEY9505,4,Katni,Murwara,Katni,Katni#Katni,A,Katni (Murwara),Murwara (Katni)
287,GMQC3918,4,Mandla,Mandla,Mandla,Mandla#Mandla,A,Mandla (Mandla),Mandla (Mandla)
288,HSWT8777,4,Morena,Joura,Jora,Jora#Morena,A,Jora (Joura),Joura (Jora)
289,KAWG3680,4,Morena,Kailaras,Kailaras,Kailaras#Morena,A,Kailaras (Kailaras),Kailaras (Kailaras)
290,DEGW8610,4,Morena,Morena,Morena,Morena#Morena,A,Morena (Morena),Morena (Morena)
291,KNYC5765,4,Morena,Morena,Morena(F&V),Morena(F&V)#Morena,A,Morena(F&V) (Morena),Morena (Morena(F&V))
292,NAEW8972,4,Morena,Porsa,Porsa,Porsa#Morena,A,Porsa (Porsa),Porsa (Porsa)
293,TJKW6076,4,Morena,Porsa,Porsa(F&V),Porsa(F&V)#Morena,A,Porsa(F&V) (Porsa),Porsa (Porsa(F&V))
294,LHVX8399,4,Morena,Sabalgarh,Sabalgarh,Sabalgarh#Morena,A,Sabalgarh (Sabalgarh),Sabalgarh (Sabalgarh)
295,RDNW2433,4,Narsinghpur,Gadarwara,Gadarwada,Gadarwada#Narsinghpur,A,Gadarwada (Gadarwara),Gadarwara (Gadarwada)
296,EYLL5287,4,Narsinghpur,Gotegaon,Gotegaon,Gotegaon#Narsinghpur,A,Gotegaon (Gotegaon),Gotegaon (Gotegaon)
297,TYSV3918,4,Narsinghpur,Kareli,Kareli,Kareli#Narsinghpur,A,Kareli (Kareli),Kareli (Kareli)
298,FXBO7618,4,Narsinghpur,Narsimhapur,Narsinghpur,Narsinghpur#Narsinghpur,A,Narsinghpur (Narsimhapur),Narsimhapur (Narsinghpur)
299,HQZX6169,4,Ratlam,Alot,A lot,A lot#Ratlam,A,A lot (Alot),Alot (A lot)
300,ISQO8153,4,Sagar,Sagar,Sagar,Sagar#Sagar,A,Sagar (Sagar),Sagar (Sagar)
301,MPQB4481,4,Seoni,Keolari,Keolari,Keolari#Seoni,A,Keolari (Keolari),Keolari (Keolari)
302,MEIB4104,4,Seoni,Seoni,Seoni,Seoni#Seoni,A,Seoni (Seoni),Seoni (Seoni)
303,ZVRT7808,4,Shajapur,Agar,Agar,Agar#Shajapur,A,Agar (Agar),Agar (Agar)
304,ORQP5395,4,Sheopur,Sheopur,Sheopurbadod,Sheopurbadod#Sheopur,A,Sheopurbadod (Sheopur),Sheopur (Sheopurbadod)
305,YKEG2203,4,Sheopur,Sheopur,Sheopurkalan,Sheopurkalan#Sheopur,A,Sheopurkalan (Sheopur),Sheopur (Sheopurkalan)
306,QRWC2217,4,Sheopur,Sheopur,Syopurkalan,Syopurkalan#Sheopur,A,Syopurkalan (Sheopur),Sheopur (Syopurkalan)
307,ZYEL9748,4,Shivpuri,Badarwas,Badarwas,Badarwas#Shivpuri,A,Badarwas (Badarwas),Badarwas (Badarwas)
308,YOXK7346,4,Shivpuri,Karera,Karera,Karera#Shivpuri,A,Karera (Karera),Karera (Karera)
309,GDXT1887,4,Shivpuri,Khaniyadhana,Khaniadhana,Khaniadhana#Shivpuri,A,Khaniadhana (Khaniyadhana),Khaniyadhana (Khaniadhana)
310,QBGS3924,4,Shivpuri,Kolaras,Kolaras,Kolaras#Shivpuri,A,Kolaras (Kolaras),Kolaras (Kolaras)
311,NRVC5040,4,Shivpuri,Narwar,Magroni,Magroni#Shivpuri,A,Magroni (Narwar),Narwar (Magroni)
312,CYOS4595,4,Shivpuri,Pichhore,Pichhour,Pichhour#Shivpuri,A,Pichhour (Pichhore),Pichhore (Pichhour)
313,JQVB3307,4,Shivpuri,Pohari,Pohari,Pohari#Shivpuri,A,Pohari (Pohari),Pohari (Pohari)
314,IZBT9331,4,Shivpuri,Shivpuri,Shivpuri,Shivpuri#Shivpuri,A,Shivpuri (Shivpuri),Shivpuri (Shivpuri)
315,BWBG2474,4,Ujjain,Ujjain,Ujjain,Ujjain#Ujjain,A,Ujjain (Ujjain),Ujjain (Ujjain)
316,VAGP4390,4,Ujjain,Ujjain,Ujjain(F&V),Ujjain(F&V)#Ujjain,A,Ujjain(F&V) (Ujjain),Ujjain (Ujjain(F&V))
317,EXLO4870,7,Ahmednagar,Rahuri,Rahuri,Rahuri#Ahmednagar,A,Rahuri (Rahuri),Rahuri (Rahuri)
318,FEUF1873,7,Amarawati,Amravati,Amarawati,Amarawati#Amarawati,A,Amarawati (Amravati),Amravati (Amarawati)
319,JFBG8569,7,Amarawati,Amravati,Amrawati(Frui & Veg. Market),Amrawati(Frui & Veg. Market)#Amarawati,A,Amrawati(Frui & Veg. Market) (Amravati),Amravati (Amrawati(Frui & Veg. Market))
320,VHMC6883,7,Aurangabad,Aurangabad,Aurangabad,Aurangabad#Aurangabad,A,Aurangabad (Aurangabad),Aurangabad (Aurangabad)
321,QDUI6385,7,Chandrapur,Chandrapur,Chandrapur,Chandrapur#Chandrapur,A,Chandrapur (Chandrapur),Chandrapur (Chandrapur)
322,RABG4136,7,Chandrapur,Chandrapur,Chandrapur(Ganjwad),Chandrapur(Ganjwad)#Chandrapur,A,Chandrapur(Ganjwad) (Chandrapur),Chandrapur (Chandrapur(Ganjwad))
323,EDSI4164,7,Jalana,Jalna,Jalana,Jalana#Jalana,A,Jalana (Jalna),Jalna (Jalana)
324,KBRW7424,7,Jalgaon,Jalgaon,Jalgaon,Jalgaon#Jalgaon,A,Jalgaon (Jalgaon),Jalgaon (Jalgaon)
325,NZTR8493,7,Kolhapur,Kolhapur,Kolhapur,Kolhapur#Kolhapur,A,Kolhapur (Kolhapur),Kolhapur (Kolhapur)
326,LGSE7749,7,Mumbai,Mumbai,All India Cottonseed Crushers Association,All India Cottonseed Crushers Association#Mumbai,A,All India Cottonseed Crushers Association (Mumbai),Mumbai (All India Cottonseed Crushers Association)
327,ZBNX6460,7,Mumbai,Mumbai,Fruit Market,Fruit Market#Mumbai,A,Fruit Market (Mumbai),Mumbai (Fruit Market)
328,MZXH1298,7,Mumbai,Mumbai,Mumbai,Mumbai#Mumbai,A,Mumbai (Mumbai),Mumbai (Mumbai)
329,MWCO6365,7,Mumbai,Navi Mumbai,Vashi New Mumbai,Vashi New Mumbai#Mumbai,A,Vashi New Mumbai (Navi Mumbai),Navi Mumbai (Vashi New Mumbai)
330,PWRF3744,7,Nagpur,Nagpur,Nagpur,Nagpur#Nagpur,A,Nagpur (Nagpur),Nagpur (Nagpur)
331,PHZC5182,7,Nashik,Nashik,Nasik,Nasik#Nashik,A,Nasik (Nashik),Nashik (Nasik)
332,NCTU8717,7,Parbhani,Parbhani,Parbhani,Parbhani#Parbhani,A,Parbhani (Parbhani),Parbhani (Parbhani)
333,TYAL3216,7,Pune,Pune,Pune,Pune#Pune,A,Pune (Pune),Pune (Pune)
334,MQWH7242,7,Sangli,Atpadi,Aatpadi,Aatpadi#Sangli,A,Aatpadi (Atpadi),Atpadi (Aatpadi)
335,MJPQ9119,7,Sangli,Sangli,Sangli,Sangli#Sangli,A,Sangli (Sangli),Sangli (Sangli)
336,YDXM3862,7,Sangli,Sangli,"Sangli(Phale, Bhajipura Market)","Sangli(Phale, Bhajipura Market)#Sangli",A,"Sangli(Phale, Bhajipura Market) (Sangli)","Sangli (Sangli(Phale, Bhajipura Market))"
337,QJZS7679,7,Satara,Karad,Karad,Karad#Satara,A,Karad (Karad),Karad (Karad)
338,NEJB5115,7,Satara,Satara,Satara,Satara#Satara,A,Satara (Satara),Satara (Satara)
339,HSCX3827,7,Sholapur,Solapur,Solapur,Solapur#Sholapur,A,Solapur (Solapur),Solapur (Solapur)
340,GXWV3830,7,Thane,Kalyan,Kalyan,Kalyan#Thane,A,Kalyan (Kalyan),Kalyan (Kalyan)
341,THBH1356,7,Thane,Ulhasnagar,Ulhasnagar,Ulhasnagar#Thane,A,Ulhasnagar (Ulhasnagar),Ulhasnagar (Ulhasnagar)
342,FBMF5807,7,Yavatmal,Arni,Aarni,Aarni#Yavatmal,A,Aarni (Arni),Arni (Aarni)
343,TJVL6946,29,Kamrup,Azara,P.O. Uparhali Guwahati,P.O. Uparhali Guwahati#Kamrup,A,P.O. Uparhali Guwahati (Azara),Azara (P.O. Uparhali Guwahati)
344,AOEG7451,31,Hassan,Joplin,Hassan,Hassan#Hassan,A,Hassan (Joplin),Joplin (Hassan)
345,VOOF5193,24,Aizawl,Aizawl,New Market Aizawl,New Market Aizawl#Aizawl,A,New Market Aizawl (Aizawl),Aizawl (New Market Aizawl)
346,MTYJ7759,26,Dimapur,Dimapur,4th Mile Dimapur,4th Mile Dimapur#Dimapur,A,4th Mile Dimapur (Dimapur),Dimapur (4th Mile Dimapur)
347,HXDO9857,10,Angul,Nalco,Angaura,Angaura#Angul,A,Angaura (Nalco),Nalco (Angaura)
348,XSCP9357,10,Angul,Talcher Sadar,Talcher,Talcher#Angul,A,Talcher (Talcher Sadar),Talcher Sadar (Talcher)
349,IWWY6097,10,Boudh,Baudh Sadar,Boudh,Boudh#Boudh,A,Boudh (Baudh Sadar),Baudh Sadar (Boudh)
350,ZPMU6830,10,Deogarh,Debagarh,Deogarh,Deogarh#Deogarh,A,Deogarh (Debagarh),Debagarh (Deogarh)
351,PJCG9533,10,Gajapati,Parlakhemundi,Parlakhemundi,Parlakhemundi#Gajapati,A,Parlakhemundi (Parlakhemundi),Parlakhemundi (Parlakhemundi)
352,HDFX8012,10,Jajpur,Jajapur,Jajpur,Jajpur#Jajpur,A,Jajpur (Jajapur),Jajapur (Jajpur)
353,ABET6869,10,Kalahandi,Jayapatna,Mukhiguda,Mukhiguda#Kalahandi,A,Mukhiguda (Jayapatna),Jayapatna (Mukhiguda)
354,NNZQ4439,10,Keonjhar,Ghatgaon,Keonjhar(Dhekikote),Keonjhar(Dhekikote)#Keonjhar,A,Keonjhar(Dhekikote) (Ghatgaon),Ghatgaon (Keonjhar(Dhekikote))
355,WUIT5234,10,Mayurbhanja,Baripada,Baripada,Baripada#Mayurbhanja,A,Baripada (Baripada),Baripada (Baripada)
356,XQLA6052,10,Mayurbhanja,Karanjia,Karanjia,Karanjia#Mayurbhanja,A,Karanjia (Karanjia),Karanjia (Karanjia)
357,IABC7135,10,Nowarangpur,Nabarangapur,Nawarangpur,Nawarangpur#Nowarangpur,A,Nawarangpur (Nabarangapur),Nabarangapur (Nawarangpur)
358,DQOT1733,10,Nuapada,Jonk,Khariar Road,Khariar Road#Nuapada,A,Khariar Road (Jonk),Jonk (Khariar Road)
359,LFOQ1771,10,Puri,Satyabadi(P),Sakhigopal,Sakhigopal#Puri,A,Sakhigopal (Satyabadi(P)),Satyabadi(P) (Sakhigopal)
360,MHPN3870,10,Rayagada,Gunupur,Gunpur,Gunpur#Rayagada,A,Gunpur (Gunupur),Gunupur (Gunpur)
361,HMFO5734,10,Rayagada,Rayagada,Rayagada,Rayagada#Rayagada,A,Rayagada (Rayagada),Rayagada (Rayagada)
362,QACS1363,10,Rayagada,Muniguda(P),Rayagada(Muniguda),Rayagada(Muniguda)#Rayagada,A,Rayagada(Muniguda) (Muniguda(P)),Muniguda(P) (Rayagada(Muniguda))
363,ZOVV1600,10,Sundergarh,Sundargarh,Bonai,Bonai#Sundergarh,A,Bonai (Sundargarh),Sundargarh (Bonai)
364,HDHO8487,Punjab,Amritsar,Amritsar,Amritsar,Amritsar#Amritsar,A,Amritsar (Amritsar),Amritsar (Amritsar)
365,LSDU5228,Punjab,Amritsar,Amritsar,Amritsar(Amritsar Mewa Mandi),Amritsar(Amritsar Mewa Mandi)#Amritsar,A,Amritsar(Amritsar Mewa Mandi) (Amritsar),Amritsar (Amritsar(Amritsar Mewa Mandi))
366,LBMB6342,Punjab,Barnala,Barnala,Barnala,Barnala#Barnala,A,Barnala (Barnala),Barnala (Barnala)
367,PSVT6891,Punjab,Barnala,Tapa,Tapa,Tapa#Barnala,A,Tapa (Tapa),Tapa (Tapa)
368,IXWZ7232,Punjab,Barnala,Tapa,Tapa(Sadar Bazar),Tapa(Sadar Bazar)#Barnala,A,Tapa(Sadar Bazar) (Tapa),Tapa (Tapa(Sadar Bazar))
