34,ZVCR4132,Gujarat,Junagarh,Junagadh,Junagadh,Junagadh#Junagarh,A,21.522184,70.4578768,362001,Junagadh (Junagadh),Junagadh (Junagadh)
35,STFP6834,Gujarat,Junagarh,Keshod,Keshod,Keshod#Junagarh,A,21.2997164,70.2492882,362220,Keshod (Keshod),Keshod (Keshod)
36,XQSA5574,Gujarat,Kachchh,Anjar,"Anjar(Veg,Sub Yard)","Anjar(Veg,Sub Yard)#Kachchh",A,23.1134605,70.0260132,370110,"Anjar(Veg,Sub Yard) (Anjar)","Anjar (Anjar(Veg,Sub Yard))"
37,ZRQB8273,Gujarat,Kachchh,Mandvi,K.Mandvi,K.Mandvi#Kachchh,A,22.833334,69.3554783,370465,K.Mandvi (Mandvi),Mandvi (K.Mandvi)
38,VITK5765,Gujarat,Patan,Sidhpur,Siddhpur,Siddhpur#Patan,A,23.9196207,72.3668366,384151,Siddhpur (Sidhpur),Sidhpur (Siddhpur)
39,TNZG5193,Gujarat,Rajkot,Gondal,Gondal,Gondal#Rajkot,A,21.9619463,70.792297,360311,Gondal (Gondal),Gondal (Gondal)
40,MLDL8341,Gujarat,Rajkot,Gondal,Gondal(Veg.market Gondal),Gondal(Veg.market Gondal)#Rajkot,A,21.9669099,70.7799017,360311,Gondal(Veg.market Gondal) (Gondal),Gondal (Gondal(Veg.market Gondal))
41,JCXY9321,Gujarat,Surendranagar,Lakhtar,Lakhtar,Lakhtar#Surendranagar,A,22.8553612,71.791766,382775,Lakhtar (Lakhtar),Lakhtar (Lakhtar)
42,CTDC6720,Gujarat,Vadodara(Baroda),Vadodara,Vadodara,Vadodara#Vadodara(Baroda),A,22.3071588,73.1812187,390020,Vadodara (Vadodara),Vadodara (Vadodara)
43,XSIF2385,Gujarat,Vadodara(Baroda),Vadodara,Vadodara(Navapura),Vadodara(Navapura)#Vadodara(Baroda),A,22.2866244,73.20281,390001,Vadodara(Navapura) (Vadodara),Vadodara (Vadodara(Navapura))
44,HKCX9836,Haryana,Ambala,Ambala,Ambala Cantt.,Ambala Cantt.#Ambala,A,30.3781788,76.7766974,134003,Ambala Cantt. (Ambala),Ambala (Ambala Cantt.)
45,ATUE5212,Haryana,Ambala,Ambala,Ambala City,Ambala City#Ambala,A,30.3781788,76.7766974,134003,Ambala City (Ambala),Ambala (Ambala City)
46,VNNN8888,Haryana,Ambala,Ambala,Ambala City(Subji Mandi),Ambala City(Subji Mandi)#Ambala,A,30.3672109,76.7673269,134003,Ambala City(Subji Mandi) (Ambala),Ambala (Ambala City(Subji Mandi))
47,WZIH4081,Haryana,Ambala,Barara Sub-District,Barara,Barara#Ambala,A,30.2120078,77.0401544,133201,Barara (Barara Sub-District),Barara Sub-District (Barara)
48,RSWV3810,Haryana,Ambala,Barara Sub-District,Mullana,Mullana#Ambala,A,30.2752852,77.04758,133203,Mullana (Barara Sub-District),Barara Sub-District (Mullana)
49,ZHEY1624,Haryana,Ambala,Naraingarh,Naraingarh,Naraingarh#Ambala,A,30.4784788,77.1312586,134203,Naraingarh (Naraingarh),Naraingarh (Naraingarh)
50,HQOM2632,Haryana,Ambala,Naraingarh Sub-District,Shahzadpur,Shahzadpur#Ambala,A,30.4464827,77.033945,134202,Shahzadpur (Naraingarh Sub-District),Naraingarh Sub-District (Shahzadpur)
51,ZSOS2960,Haryana,Bhiwani,Loharu,Behal,Behal#Bhiwani,A,28.6296193,75.6178991,127028,Behal (Loharu),Loharu (Behal)
52,DIAC3526,Haryana,Bhiwani,Tosham,Bhiwani,Bhiwani#Bhiwani,A,28.7751693,75.9927652,127111,Bhiwani (Tosham),Tosham (Bhiwani)
53,UHCY8283,Haryana,Bhiwani,Charkhi Dadri,Ch. Dadri,Ch. Dadri#Bhiwani,A,28.5920617,76.2652909,127306,Ch. Dadri (Charkhi Dadri),Charkhi Dadri (Ch. Dadri)
54,VJGG9773,Haryana,Bhiwani,Bhiwani Sub-District,Jui,Jui#Bhiwani,A,28.63576,75.9434209,127030,Jui (Bhiwani Sub-District),Bhiwani Sub-District (Jui)
55,OOIO5235,Haryana,Bhiwani,Loharu,Loharu,Loharu#Bhiwani,A,28.426706,75.8040022,127201,Loharu (Loharu),Loharu (Loharu)
56,ZCBT8325,Haryana,Bhiwani,Siwani,Siwani,Siwani#Bhiwani,A,28.9084317,75.6120795,127046,Siwani (Siwani),Siwani (Siwani)
57,ZFFO6479,Haryana,Bhiwani,Tosham,Tosham,Tosham#Bhiwani,A,28.872463,75.9143867,127040,Tosham (Tosham),Tosham (Tosham)
58,QHIJ6256,Haryana,Faridabad,Faridabad,Ballabhgarh,Ballabhgarh#Faridabad,A,28.3421598,77.3255963,121004,Ballabhgarh (Faridabad),Faridabad (Ballabhgarh)
59,MGAL2773,Haryana,Faridabad,Faridabad,Faridabad,Faridabad#Faridabad,A,28.4089123,77.3177894,121002,Faridabad (Faridabad),Faridabad (Faridabad)
60,WAXK3492,Haryana,Fatehabad,Fatehabad Sub-District,Bhuna,Bhuna#Fatehabad,A,29.5364802,75.7107996,125111,Bhuna (Fatehabad Sub-District),Fatehabad Sub-District (Bhuna)
61,QJQF6718,Haryana,Fatehabad,Fatehabad,Fatehabad,Fatehabad#Fatehabad,A,29.5077159,75.4519516,125050,Fatehabad (Fatehabad),Fatehabad (Fatehabad)
62,GPYB3191,Haryana,Fatehabad,Tohana Sub-District,Jakhal,Jakhal#Fatehabad,A,29.8082883,75.8257955,125133,Jakhal (Tohana Sub-District),Tohana Sub-District (Jakhal)
63,KWPI8608,Haryana,Fatehabad,Ratia,Ratia,Ratia#Fatehabad,A,29.676906,75.5713361,125051,Ratia (Ratia),Ratia (Ratia)
64,JRRX6303,Haryana,Fatehabad,Tohana,Tohana,Tohana#Fatehabad,A,29.7163129,75.9056753,125120,Tohana (Tohana),Tohana (Tohana)
65,YFGJ5204,Haryana,Fatehabad,Tohana,Tohana(New Veg Market),Tohana(New Veg Market)#Fatehabad,A,29.7163129,75.9056753,125120,Tohana(New Veg Market) (Tohana),Tohana (Tohana(New Veg Market))
66,ZGQK9911,Haryana,Gorakhpur,Fatehabad Sub-District,Gorakhpur,Gorakhpur#Gorakhpur,A,29.4438165,75.6702647,125111,Gorakhpur (Fatehabad Sub-District),Fatehabad Sub-District (Gorakhpur)
67,VQPJ7723,Haryana,Gurgaon,Gurugram,Gurgaon,Gurgaon#Gurgaon,A,28.4594965,77.0266383,122001,Gurgaon (Gurugram),Gurugram (Gurgaon)
68,ENYU5202,Haryana,Gurgaon,Pataudi,Pataudi,Pataudi#Gurgaon,A,28.3255049,76.778212,122503,Pataudi (Pataudi),Pataudi (Pataudi)
69,ZKXV9955,Haryana,Gurgaon,Ferozepur Jhirka,Rerozepur Zhirka,Rerozepur Zhirka#Gurgaon,A,27.7873427,76.9464633,122104,Rerozepur Zhirka (Ferozepur Jhirka),Ferozepur Jhirka (Rerozepur Zhirka)
